fecha_transaccion,encrypt_rut,comuna,marca,detalle,brand_origin,retail,precio_de_lista_synt,margen_retail,margin_pct,loss_making,price_band,year,month,quarter
2020-08-19,b075ca0cb7596a0505e432f06e5ffcbd43cddfa070183e1d2123a9f17c5fdaeb,TEODORO SCHMIDT,Suzuki,DZIRE SEDAN 1.2 GL,Incumbent,ces,6552720.953874245,380083.6875,0.058003948310247896,0,Mid,2020,8,3
2021-01-29,8d3990815478318e7dce59216bff361dd21ee6177739dc317ea27d42792df344,COQUIMBO,Suzuki,SPRESSO 1.0 GLX AC,Incumbent,ces,5429036.111121752,538521.875,0.09919290717127503,0,Economy,2021,1,1
2013-08-24,8a2ecc4cead383de3f06885c2fc2455d5dbf05fa6c7c8209265466801e2351bf,LA FLORIDA,Suzuki,ALTO K10 1.0 DLX AC,Incumbent,propio,3723449.489540312,221230.71875,0.05941552836193102,0,Economy,2013,8,3
2019-07-31,9af6237695fe6b77c25dfacf568cc44286d5d4e0b866ed36b33ae40c967a5214,LA REINA,Suzuki,JIMNY 1.5 AT GLX,Incumbent,ces,9552188.632177988,435692.625,0.04561181125886728,0,Premium,2019,7,3
2011-12-29,85d3fe85c9d1899851e9ef87c3d67fa575150cfe8e3a1a899fe28315392a6188,COQUIMBO,Suzuki,JIMNY 1.3 JX,Incumbent,ces,5396882.303752457,304879.28125,0.0564917417298534,0,Economy,2011,12,4
2015-10-30,d488554a648ff775470de059acc5cf0c3b15a99d685df9a5d21a263964081e58,QUILICURA,Renault,FLUENCE 1.6 SDN EXPRESSION MT E5 F3,Incumbent,propio,7759002.329739534,487269.90625,0.0628005876969955,0,Mid,2015,10,4
2012-08-30,bba2e57918c5cacbba2f05ca541023b2b8213c20b25363c4e8f1f26317ba25c9,SANTIAGO,Renault,KOLEOS 2.5 DINAMIQUE 4X4 AT NEW,Incumbent,propio,10483277.36267093,411841.71875,0.03928558832340871,0,Premium,2012,8,3
2011-06-22,ec77e86ad194a28d5133e3872c3c9141873f2ed3a818a8d9a80a4219920da49d,RANCAGUA,Samsung,SM3 1.6 SEDAN ENTRY 3,Incumbent,ces,4891631.456570063,389243.6875,0.0795733879291331,0,Economy,2011,6,2
2017-01-18,4102fb8f7378de6558fa5b102a6289cc48c981377c7a163dcb3055abd2798c17,PAINE,Renault,SYMBOL 1.6 SDN EXPRESSION MT BLACK,Incumbent,ces,5061098.260546942,368378.90625,0.07278635728565959,0,Economy,2017,1,1
2015-08-31,83525977a9f3a42c8eebfe4aae859a2e1906159a812ded527b71de9e9a4b568a,TEMUCO,Mazda,"NEW MAZDA6 SEDAN V, 2.0 6AT",Incumbent,ces,12614761.25697457,974117.6875,0.07722046162081905,0,Premium,2015,8,3
